	bicalutamide	bleomycin	cetuximab	cisplatin	dabrafenib	docetaxel	doxorubicin	erlotinib	etoposide	gefitinib	gemcitabine	imatinib	lapatinib	methotrexate	paclitaxel	sorafenib	sunitinib	tamoxifen	temozolomide	trametinib	veliparib	vinblastine	vinorelbine
1330935	4.36624174	1.1166015	6.25609435	2.863738	4.05738383	-5.81087298	-0.27275138	2.59966894	2.45546794	0.58913021	-3.23545818	2.64949241	2.27575699	-2.49794213	-2.33465148	1.80111825	1.2803361	2.92756178	5.42247491	2.01894348	3.71572843	-4.06394	-1.45628991
906795	4.75005502	-0.60792928	6.63727065	4.09438827	-0.94369344	-5.14070756	-2.48887434	2.408565	0.84428511	2.16955411	-3.9513469	2.743088	2.428795	-1.66113793	-3.13376	2.008625	2.381932	3.77489712	6.39850011	-3.40963859	4.95178699	-5.36494897	-5.28185217
906794	4.58867195	1.02964381	5.88153515	2.10419852	4.7814229	-5.04539083	-3.0856393	0.2908981	-2.64209579	1.12418739	-2.92273746	3.22679328	0.04019252	-0.04550978	-4.02193346	2.41946146	4.12663269	4.08827572	4.46090831	-0.1842541	4.17662922	-4.33213758	-6.33038617
909717	4.77368333	0.90790681	6.03486396	2.8473623	3.59945753	-7.1037546	-2.20820513	3.14765633	0.93360678	2.22231626	-2.10617812	3.40565389	2.57120933	1.29600408	-3.88535713	2.30022208	2.23482146	4.10551349	6.17032656	-1.27227302	3.64887322	-4.21162083	-4.06189912
946377	4.376683	1.666334	5.988034	1.28463628	3.245134	-8.11652662	-1.75617	2.408565	1.554173	0.57790795	-2.32467	2.743088	2.428795	0.66132745	-3.13376	2.008625	2.381932	2.89840617	4.73317963	-2.29381805	3.20463152	-6.23598876	-3.8381
906875	4.50109522	-0.40015722	6.19536039	0.73765754	4.63685777	-5.78845501	-1.05864999	3.56832669	2.27880355	1.09480656	-0.8385609	2.87891101	3.51938272	0.02079419	-2.31981182	1.44497034	2.83284907	4.05991242	5.85748106	2.65280703	4.49031201	-4.81806673	-2.73054033
946370	4.8085112	1.95970002	6.27905694	2.81830078	5.10003512	-4.38775292	-1.72684193	2.27602562	3.68105707	1.44300945	0.13688496	2.743088	2.0462129	-1.57855088	-3.13376	0.78611958	2.381932	4.80228437	6.53738172	-1.98186062	4.15100297	-4.10883426	-2.85404381
946373	4.65698105	7.11547995	5.74198686	3.84525715	2.56981441	-5.44798438	0.91751484	0.65754502	6.14837695	2.41672693	3.78846513	4.06532806	0.56755421	2.0632089	0.75064965	3.03112229	5.7746525	4.75023926	6.90638096	-2.53555961	4.97455303	-3.67971443	-2.28134621
946372	4.8007401	1.666334	6.1804771	2.67083732	5.08848463	-6.43670019	-1.75617	2.408565	1.554173	1.69754157	-2.32467	2.743088	2.428795	1.17327846	-3.13376	2.008625	2.381932	4.43873632	3.61369812	0.50535479	4.09059101	-4.64536356	-3.8381
1290922	4.63180181	3.83466458	5.44771219	3.68883065	4.72885237	-4.65037805	-0.92407986	2.408565	2.1096854	-0.21887987	0.02236412	2.743088	2.428795	0.04379228	-3.13376	2.008625	2.381932	4.4031922	6.43136802	0.39029216	4.78968633	-2.8398785	-3.40811878
1331049	4.376683	-0.35926165	5.988034	2.22559109	4.01237733	-4.16106086	-3.94537486	2.05560884	-0.93318528	1.1592103	-6.39293166	2.5639567	2.56153527	-3.36479214	-5.26766268	-0.74565358	0.95022833	2.7627758	3.52142567	1.15190459	2.74208161	-4.68397814	-5.13057457
1331048	4.376683	-0.73994291	5.988034	3.07111804	3.77827797	-3.54693262	-2.1379216	2.50057322	2.51729598	1.42307868	-1.21794597	2.40954293	2.66269437	-2.10022727	-3.13376	0.76136978	2.381932	3.83893394	5.79617201	2.25904414	4.16317648	-4.2327449	-2.76542369
1295740	3.9414491	-0.78399689	6.08132789	2.34934906	1.14226147	-5.46123926	-3.00119161	1.72884052	-0.86863963	1.19033159	-4.49616426	-3.58380849	2.65135817	-2.22034723	-5.36811124	0.274021	0.10927628	2.71004343	4.1932545	0.12012354	3.57147202	-6.76937539	-6.42588105
1479988	3.79178496	1.666334	5.99808942	2.70506493	0.05555795	-6.47686514	-1.75617	2.408565	1.554173	1.26716075	-2.32467	2.743088	2.428795	0.16341977	-3.13376	2.008625	2.381932	3.81939779	4.86134213	-5.04760599	3.22947326	-6.14667369	-3.8381
1479987	3.66503462	1.666334	6.33664306	2.61201641	-0.06395484	-6.04735543	-1.75617	2.408565	1.554173	0.12992681	-2.32467	2.743088	2.428795	0.95602027	-3.13376	2.008625	2.381932	2.59850708	6.07610802	-1.29939575	4.55671324	-4.16784748	-3.8381
724825	3.87561621	1.666334	6.13243959	2.63652889	1.80801531	-4.52494152	-1.75617	2.408565	1.554173	0.13161456	-2.32467	2.743088	2.428795	-2.90961683	-3.13376	2.008625	2.381932	3.07223834	5.0333694	-4.70245442	2.78166058	-4.77517162	-3.8381
906803	4.376683	0.09055505	5.988034	3.52854717	-3.54677817	-4.89683372	-3.40875368	2.74695741	-2.03927464	1.82628124	-5.73164473	3.14646429	2.5519498	0.91778606	-5.69820064	2.48915121	1.41472264	4.03441473	5.21270465	-5.69302754	4.1084139	-3.98222509	-6.51855072
906801	5.41899178	0.81908696	4.34380921	3.40673386	5.33456454	-5.56277529	0.09867793	2.408565	1.73078921	0.1278609	-1.68455476	2.743088	2.428795	-0.11871761	-3.13376	2.008625	2.381932	4.70891383	6.37560552	-0.75056212	4.22098186	-3.62577276	-4.10759986
906800	3.7186017	0.44730476	5.84155004	1.32423166	-0.81782504	-5.78072366	-3.90428844	0.69224628	-1.23008341	0.98293614	-4.90028972	2.34020145	2.20770835	-4.76208657	-6.11909207	0.15452935	-0.4371909	2.82527552	4.64875044	0.56186863	3.09028127	-5.61899411	-5.60315475
906807	3.86898348	1.666334	6.19514219	0.80567222	3.295194	-5.11483148	-1.75617	2.408565	1.554173	1.38139382	-2.32467	2.76646667	2.428795	-4.58008006	-3.13376	1.55498887	2.381932	3.40585505	2.79024614	1.3142642	3.09671542	-6.93688924	-3.8381
749709	3.93274162	4.03064894	6.17690536	4.21137121	5.02865361	-4.26491398	-1.00438877	2.408565	2.16136317	1.25792484	0.43249699	2.743088	2.428795	1.4146501	-3.13376	2.008625	2.381932	3.12923062	6.22700486	-1.80298691	4.59114798	-3.00795041	-4.73424143
906805	4.47683776	1.97515704	5.08609451	2.863738	4.89031063	-4.9165	-1.90462039	2.408565	2.29306521	1.056102	-3.40998634	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	4.29708091	5.6559907	-2.57580026	3.904143	-4.06394	-3.73631189
1330931	4.14572446	1.66323352	6.09797417	3.09842548	2.13221789	-4.38879858	-1.63511333	2.26579326	1.46041169	1.15263368	-3.87721147	-1.72300867	2.26901345	-3.29354917	-4.57104212	1.39136336	2.10991635	3.01616305	5.32841043	-1.56466531	3.59021528	-4.17565412	-4.58569301
906808	4.99971803	3.7442582	7.33881717	5.20649563	5.29916132	-2.6983777	1.02810445	3.51170132	3.08989167	1.35601394	0.7570064	2.61625829	3.38066448	0.83486813	-2.84874013	1.28971541	2.83255971	4.1344921	5.87063133	2.97482412	4.67216562	-3.14758322	-3.47407977
1240158	4.17589022	2.00427973	6.58895085	2.4224493	2.56808081	-3.06730791	-1.15917521	2.408565	1.52437981	0.58331823	-4.69082442	2.743088	2.428795	0.77242791	-3.13376	2.008625	2.381932	3.89338835	5.32763676	-1.85831955	4.00673044	-1.65910901	-2.54974423
1240159	4.01196307	2.25546647	5.55751249	1.45390708	4.43046715	-6.00080658	-1.3616206	2.408565	1.84971511	1.94161895	-2.04661342	2.743088	2.428795	0.15973374	-3.13376	2.008625	2.381932	2.82478272	5.88798578	0.89586476	4.16830209	-4.09676233	-3.10786307
1240153	4.21777581	-1.48970474	6.12092176	2.02501272	-4.50060713	-6.52731723	-2.88049834	2.408565	0.82930535	1.5674973	-4.90974962	2.743088	2.428795	0.65529068	-3.13376	2.008625	2.381932	3.79262549	5.58438496	-6.84837218	3.79903883	-5.36320679	-4.36662213
907176	3.76054905	2.06028643	6.46655497	1.92271966	4.22097311	-5.67287387	-2.20803072	2.408565	0.51471569	1.24537869	-2.85453166	2.743088	2.428795	0.05010533	-3.13376	2.008625	2.381932	3.79885829	5.32634284	2.13948954	3.98063047	-4.74877176	-4.53247629
1240151	4.43577522	1.666334	6.67393701	2.72121049	4.60064083	-3.86168785	-1.75617	2.408565	5.99298607	2.66910862	-2.32467	2.743088	2.428795	0.60498739	-3.13376	2.008625	2.381932	4.54799874	6.62056784	-1.74879959	4.76642053	-3.13519645	-0.86132673
907170	3.34703526	-1.47541846	5.97288839	1.70528295	3.40592639	-3.84788056	-3.33881155	2.55957492	-1.09974763	1.22411827	-3.58653464	1.19562468	2.74482398	-2.10227606	-5.52860053	3.24131527	2.16381854	3.02511784	4.66693217	0.50897575	2.60197907	-2.99878934	-5.20088886
1240157	4.80795169	6.42653028	6.40888402	3.37788913	4.03714209	-5.0158096	-0.53689123	2.408565	3.65214044	0.76082811	1.54783647	2.743088	2.428795	-1.45464893	-3.13376	2.008625	2.381932	3.88456116	6.10594202	-0.66725769	4.40898619	-3.31944003	-2.74742572
907172	4.57918457	-0.77137159	6.40939221	2.78969802	-0.73286248	-5.82624674	-3.61384562	2.66509839	0.94862059	2.26028858	-6.5165478	2.96485818	1.36472322	-2.27256281	-4.04460589	1.88813039	1.50490115	4.10607207	4.87821526	-2.91162134	4.50486721	-5.06522885	-2.35043804
907173	4.376683	4.18274591	5.988034	2.863738	4.71071621	-4.9165	-1.57336422	3.13513105	3.68399469	1.056102	-0.79461799	3.34978964	1.54323593	-0.5407	-2.62126936	1.16803993	2.61699011	3.5373663	4.71748819	2.42754772	3.904143	-4.06394	-2.32745093
1290812	5.01573566	1.80080633	5.96170009	2.92903848	4.67098691	-2.58404791	-2.25503328	2.408565	2.21124365	2.43705911	-0.75431237	2.743088	2.428795	1.52076838	-3.13376	2.008625	2.381932	3.83998621	6.27225868	-1.33747152	4.73625025	-2.83227568	-3.48951764
1290813	4.376683	2.41171684	5.988034	2.98785023	3.78118541	-5.92696494	-0.52975097	2.408565	2.60349094	0.70944765	0.71299996	2.743088	2.428795	-2.43640756	-3.13376	2.008625	2.381932	3.88474427	5.83248661	-3.64562321	3.19389364	-5.19005478	-2.58797348
1290810	4.74402061	-0.70074025	5.98346029	3.86023008	2.07000941	-3.75888393	-1.01306503	2.408565	3.86034516	2.55788219	-0.02125289	2.743088	2.428795	-0.14677064	-3.13376	2.008625	2.381932	4.45685029	6.40960384	-0.56100262	4.73353615	-2.99698182	-0.93844828
905936	4.55381059	1.4168943	5.95466269	2.79502496	1.33734066	-6.68487966	-1.55697976	2.408565	-0.203099	1.03443044	-3.4798888	2.743088	2.428795	-1.68740453	-3.13376	2.008625	2.381932	2.92138627	5.57618135	-4.36945682	2.99326032	-4.96189858	-5.99296776
905937	4.376683	-1.49523639	5.988034	2.95124401	3.46813435	-2.10480413	0.48081985	2.408565	2.17243095	1.85293643	-3.244049	2.743088	2.428795	-3.19547193	-3.13376	2.008625	2.381932	4.33038299	5.9987041	1.23392825	4.31873504	-1.84751346	-1.21729105
1290814	3.96436437	2.70440693	5.70556526	2.863738	2.95352557	-4.9165	-0.11641913	2.408565	4.33921432	1.056102	2.69765436	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	4.38113417	5.77224798	0.05832633	3.904143	-4.06394	-1.35184367
905935	4.3197414	-0.14055312	4.87390081	2.48144373	3.00282866	-4.82690467	-2.63318286	2.408565	-0.3764524	-1.08285302	-5.40940359	2.743088	2.428795	-0.82087744	-3.13376	2.008625	2.381932	2.78831402	5.99661686	-2.84845898	1.4707768	-2.26551148	-5.26372559
687596	5.20395004	2.50866934	6.50291565	2.863738	4.6429482	-4.9165	-2.19187534	2.408565	1.19132014	1.056102	-1.2584041	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	3.248103	6.25714558	2.66457504	3.904143	-4.06394	-5.58437668
905938	4.25670397	3.39625161	6.38156424	1.9455826	4.26563497	-4.9521832	-2.48390252	2.9622449	0.78088244	0.94342292	-4.35517834	2.91801116	2.9622449	-2.80109629	-4.88207941	0.86172627	1.45626723	3.15015893	4.99498516	-0.24173607	3.3659014	-5.40085878	-4.41262305
905939	4.71135626	-0.18439507	5.91634951	2.96117164	1.30826866	-5.42098807	-3.11905572	2.408565	0.70348819	1.90979008	-5.18639128	2.743088	2.428795	-1.78427706	-3.13376	2.008625	2.381932	4.08763146	5.89963023	-5.17587814	4.20874362	-4.34819646	-5.928525
687592	4.14639911	0.83554327	5.81527926	1.85074466	4.33949366	-6.99454678	-3.69499034	2.408565	0.19853758	1.43479801	-5.27065558	2.743088	2.428795	0.93227664	-3.13376	2.008625	2.381932	3.77503676	5.89721649	-1.67657345	4.01596713	-4.98391468	-5.30890055
687590	5.21184491	2.30134307	4.10384541	3.10706607	3.57033506	-5.08131343	-1.35335431	3.81492354	2.52492077	1.68646977	-1.28270789	2.93262267	3.28923436	1.39099457	-0.30938891	2.61384633	5.01680134	4.37969282	6.3769432	-2.2344125	4.58515802	-3.64100856	-3.44642456
688006	4.90082304	3.70606471	5.76598586	2.32361203	4.90219031	-3.12363691	-2.05168351	3.39276145	0.41563336	1.95698406	-2.498809	2.40997598	2.57977801	1.06105122	-1.97675563	2.31619581	2.95985186	4.14569748	4.80287116	2.47035841	4.30905218	-3.21841106	-3.07500077
688007	4.95628704	6.37610822	7.10675302	3.32563856	5.22682101	-2.69557183	-0.58314401	3.51404957	-0.27559112	2.34430508	1.10622092	3.38736998	3.56556033	-2.15921628	-2.37553916	3.70399226	4.20781166	4.41516678	5.92165877	2.92115087	4.63769459	-2.89735874	-4.06188186
688001	4.753606	3.60613116	6.86725371	0.59958668	0.01744444	-4.20803026	-0.97032888	3.63958061	1.1826218	2.03620622	-0.90844222	3.42040561	2.34060943	-2.17604234	-2.32387022	3.69058559	5.02044598	3.68884485	5.27894964	-4.12317088	4.49843811	-4.87212911	-3.59359494
687819	4.56629532	-2.37214616	5.68296087	3.45311657	5.11207403	-3.45277022	-3.2474934	2.408565	-0.27779773	1.48525745	-5.01756414	2.743088	2.428795	1.33043165	-3.13376	2.008625	2.381932	3.46273587	5.97829867	1.52585452	3.42154207	-1.31999245	-5.28855175
687816	4.376683	0.14495054	5.988034	2.863738	3.245134	-4.9165	-4.57588335	2.408565	0.93744146	1.056102	-6.33276638	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	4.378036	5.5339	-1.02602	3.904143	-4.06394	-5.03262851
687814	5.48283136	4.53987951	5.68345118	4.00049441	4.0346178	-4.37313003	-1.89793083	3.95320066	1.67304587	-0.09997639	-0.03692394	3.91667697	3.64036458	1.54510872	-3.55331295	2.20875513	3.93339308	4.1164022	6.58144364	0.35133645	4.74326586	-3.93379525	-4.04005418
687815	4.72954792	-1.85791556	6.76793697	2.863738	4.86019384	-4.9165	-2.16426742	2.408565	0.56135668	1.056102	-4.86871017	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	3.78006796	5.82397822	1.90525264	3.904143	-4.06394	-4.42704049
687812	5.00713477	0.82967088	6.26092696	2.863738	4.32877386	-4.9165	-1.54354534	2.408565	1.61485627	1.056102	-1.01346317	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	4.18240065	6.14919937	0.41022561	3.904143	-4.06394	-2.50862423
1298365	4.10826848	0.18365593	3.08632332	1.48238339	1.98952405	-3.87359183	-1.19231921	2.408565	1.84872253	-1.10525773	-5.30627119	2.743088	2.428795	-1.67871507	-3.13376	2.008625	2.381932	3.84616392	6.07235652	-1.59264728	3.82805212	-4.93240363	-3.34822458
724838	3.3831437	0.1065001	6.31840269	1.77943929	3.26429543	-5.13583604	-2.36346233	2.408565	0.23159254	0.91698157	-4.24944117	2.743088	2.428795	0.67527913	-3.13376	2.008625	2.381932	3.73284269	5.46657358	-1.34587751	3.96768845	-4.75130938	-4.19127074
1331040	3.75280602	0.3817002	5.70469774	1.1700414	3.37145635	-5.70605183	-2.19656002	1.94011316	-0.785759	0.5459151	-3.00374129	2.23499592	2.17220592	-5.48471081	-5.47035563	1.9892891	1.43812077	1.87484968	3.3058542	0.9578362	3.15115865	-7.14011581	-5.36920651
908458	4.3618661	6.66289433	7.18269023	4.11301231	3.98097059	-1.21103633	2.94840685	3.80209554	5.50260521	1.056102	2.94946509	3.50193515	2.98460998	0.6384841	0.69863607	2.5741939	3.77187549	3.43736068	5.94566046	-3.67087224	1.24335871	-5.15367274	0.15510357
908459	5.29096421	2.52876575	6.37417874	5.09550407	5.3683866	-4.6313204	-2.2472998	2.408565	2.47110209	2.33838621	-1.88074455	2.743088	2.428795	-0.48054286	-3.13376	2.008625	2.381932	3.96612389	6.33727769	-0.25339978	4.94976016	-2.17490756	-1.5633073
908457	4.42782546	0.18445336	5.66324647	5.35665061	3.34224154	-4.05073158	-2.17309072	1.21172142	2.72778865	1.62920854	-3.19787617	3.73124587	1.48394167	1.40410058	-3.97638848	2.72533657	1.82185853	4.23584984	6.29843945	-5.47917469	4.56381566	-2.2961265	-3.4045846
908454	2.97749488	-3.18254298	6.47169432	-0.0611839	3.65348373	-6.78731213	-5.36468872	2.83123727	-4.32848745	0.24254323	-4.85210789	1.85425952	0.92250677	-0.41187691	-6.07895958	1.33698858	1.54794273	1.97996639	3.7765054	-1.20487368	3.48150893	-5.27239831	-6.74459568
908455	4.67380984	0.43527076	3.85101004	2.863738	3.295975	-4.9165	-3.0663816	2.408565	0.14488819	1.056102	-4.01887227	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	4.33004754	6.07159103	-2.63776688	3.904143	-4.06394	-5.18505886
908452	4.64054603	3.18133297	6.22667971	3.80456182	3.86862701	-4.63523415	-1.76986551	3.42127809	1.22382679	2.2337117	-2.07109099	3.57175597	2.59210324	0.8003925	-5.44125488	0.82561389	2.65043362	4.28880232	6.04847035	0.08533996	4.57965988	-1.9777658	-3.27801708
908450	5.41816468	3.13385032	6.21032184	2.46239506	5.37400163	-4.53675937	-0.90007339	1.82157661	1.47712331	1.69828078	-1.07247604	3.36051779	3.97279314	1.19691839	-3.52761248	1.02496557	2.33369633	4.59888084	6.51677697	0.4739833	4.41109489	-3.62079661	-2.54035301
908451	3.8823094	1.5274491	6.67743894	2.3513303	2.50346088	-4.76963176	-1.42981973	3.3094887	0.79545277	0.29750167	-4.32657237	3.0398205	3.46414826	-1.36004364	-4.14958063	1.95256419	1.40478987	2.10676048	6.02913867	-1.02602	2.26112981	-6.53468387	-4.40971526
1331045	4.37779464	4.68211151	5.81588738	3.3079499	3.96252562	-3.86433741	-1.18050705	2.29322815	1.92660024	1.34189291	-4.35027682	2.743088	3.00837882	-2.81671946	-3.13376	1.63353094	2.381932	3.7353559	4.72993278	1.67349131	3.94686904	-3.97972741	-3.99654447
1290771	5.1818523	1.666334	7.09761503	4.34092924	3.245134	-3.03627165	-1.75617	2.408565	1.554173	2.34164485	-2.32467	2.743088	2.428795	-0.53592288	-3.13376	2.008625	2.381932	4.51907075	5.87494051	-5.93737596	4.14317051	-2.79922869	-3.8381
724863	5.16947868	2.81972355	7.11946487	5.02687594	5.15814362	-1.05713432	-0.86544918	1.93425237	3.14912163	2.63174514	-0.86492307	3.50949918	2.67928574	1.7154544	-2.72552451	2.77822828	3.35830651	4.51291099	6.2444581	0.11853296	4.93433023	1.00162902	-3.35354638
753600	4.376683	2.73090698	4.33803969	3.29065972	4.02792238	-4.43439034	-0.69285491	2.408565	1.69000039	2.07230552	2.21734673	2.743088	2.428795	0.30288146	-3.13376	2.008625	2.381932	2.9967829	6.41909357	-1.21928798	4.7227651	-4.01970148	-4.21416213
722045	4.90233198	1.47248695	6.16449185	2.863738	3.32575067	-4.9165	-3.59120963	2.408565	-1.32213807	1.056102	-3.36602329	2.743088	2.428795	-0.5407	-3.13376	2.008625	2.381932	2.85835088	5.90646678	-2.37622535	3.904143	-4.06394	-5.50427846
753605	4.376683	0.32440901	5.988034	2.70299118	3.245134	-4.1722056	-1.36972391	2.7499882	1.91509242	1.52581161	-2.91079582	2.79957919	3.0650132	0.71296303	-5.22863865	1.03681942	2.49645022	3.6658	5.5339	-1.02602	3.95365159	-4.37437318	-4.49902309
724866	4.6410181	1.75034129	4.81253442	2.863738	4.75367398	-4.9165	-2.39853821	0.95851982	-0.52590845	1.056102	-6.04131344	4.00656807	2.44405807	-0.5407	-4.66736029	2.48674526	2.18824027	3.87600161	6.68922943	-2.67790255	3.904143	-4.06394	-5.68405596
1240129	5.43565428	3.41566131	3.75341574	3.807848	4.62151945	-3.82278666	0.11338111	2.408565	2.49213922	1.36183869	2.62647181	2.743088	2.428795	0.52804315	-3.13376	2.008625	2.381932	4.19751992	5.94987395	-0.42720124	4.81267329	-1.5727296	-2.53549754
1240128	4.42308387	0.8920696	5.40521194	2.11347169	-2.97892884	-5.75142147	-0.52113457	2.61447955	2.76109737	1.55160274	-2.59872257	2.81893478	2.9407347	-1.43035817	-2.68317256	1.66957409	2.1468252	3.78969067	5.06239479	-5.41352733	3.42114334	-3.74919042	-1.3760569
1240127	5.37011549	3.53812495	6.43898595	3.36509863	5.5462142	-4.54867288	-1.87484547	2.408565	4.49344707	2.70895862	-0.08170886	2.743088	2.428795	0.0455919	-3.13376	2.008625	2.381932	4.85306702	6.15273591	2.63512191	4.93459778	-4.04415668	-3.49468873
753608	4.04933852	-0.72270799	5.36315667	1.7822745	4.15961654	-5.88022199	-1.45742573	2.408565	2.05465144	-1.46863518	-2.48153448	2.743088	2.428795	-1.3806911	-3.13376	2.008625	2.381932	3.74193149	5.48533673	-1.99321828	3.70696144	-5.75266989	-5.30996553
910907	4.27049432	1.31831157	5.32623958	1.85683395	5.03946818	-4.49391813	-1.44328636	2.408565	1.75270773	0.61768913	-2.41076071	2.743088	2.428795	1.54516776	-3.13376	2.008625	2.381932	4.61692728	5.42212045	-1.83337485	3.10626817	-3.07462935	-2.92592666
724868	4.53460856	0.88591533	5.98041492	2.39463201	3.245134	-6.60318259	-0.84707192	2.408565	2.6561802	0.5851382	-2.33538913	2.743088	2.428795	-2.34467949	-3.13376	2.008625	2.381932	3.2896268	5.56061317	-4.20569615	3.78480674	-6.101652	-3.48504298
1240123	4.40365142	2.85555002	6.64611614	4.84395701	4.49016164	-2.0716581	0.5584514	2.408565	3.88439194	-0.65893099	-0.27214325	2.743088	2.428795	-0.68520518	-3.13376	2.008625	2.381932	4.06893422	5.86069369	2.35485851	4.15080982	-1.58731417	-2.34534607
910900	4.21161201	-0.19137015	6.63250932	2.0612313	3.50333287	-4.85501579	-3.86751198	2.408565	2.18238371	1.9701228	-3.58612123	2.743088	2.428795	0.69973089	-3.13376	2.008625	2.381932	4.3696842	5.97881867	1.05292698	4.02103808	-3.70421571	-2.69090921
910903	4.376683	0.72051193	5.988034	1.51463742	3.245134	-7.3667604	-2.01753398	2.408565	0.92049343	1.56462905	-5.00652238	2.743088	2.428795	-1.00795877	-3.13376	2.008625	2.381932	3.94306253	5.5339	-1.02602	3.97423659	-5.79780111	-4.60544345
713869	4.34561831	1.666334	6.15502884	3.36139685	3.57062668	-5.80193752	-1.75617	2.408565	1.554173	1.28900578	-2.32467	2.743088	2.428795	0.31072726	-3.13376	2.008625	2.381932	3.20433949	5.07671838	1.71754237	3.70063483	-5.28505429	-3.8381
1299078	4.49218641	-0.79160001	5.91083094	2.42658251	1.87119102	-5.17174325	-2.84313849	2.408565	2.56860299	1.95322057	-6.33679327	2.743088	2.428795	-1.64489042	-3.13376	2.008625	2.381932	4.14885473	5.9406142	-1.3465593	4.25129179	-3.59897585	-2.70852366
1299075	4.83946674	4.9533947	5.03963743	5.06352415	2.94765655	-6.54251768	-1.55706024	3.31405804	1.49711734	2.07014091	-1.53201054	3.15972207	2.84327473	0.61303825	-4.0500386	2.07828774	3.63594016	4.25172812	6.04570761	2.64296501	4.372726	-4.42181266	-4.45292356
906848	4.2674147	1.53058407	6.69266714	3.21272993	4.31382398	-5.06693577	-1.62087227	2.408565	1.20540973	0.52557709	-0.60741582	2.743088	2.428795	-2.32516779	-3.13376	2.008625	2.381932	3.01208468	5.00157396	-2.2528034	3.4671498	-4.16116429	-4.14202752
